C1030;Autres énergies
C1525;Qualité de l'air
C1540;Autres actions environnementales
C3505;Création, aménagement, entretien et gestion de zone d’activités industrielle, commerciale, tertiaire, artisanale ou touristique
C3510;Création, aménagement, entretien et gestion de zone d’activités portuaire ou aéroportuaire
C4010;Établissements scolaires
C4505;Schéma de cohérence territoriale (SCOT)
C4515;Plans locaux d’urbanisme
C4530;Organisation des transports urbains
C4532;Organisation des transports non urbains
C4535;Prise en considération d’un programme d’aménagement d’ensemble et détermination des secteurs d’aménagement au sens du code de l’urbanisme
C4550;Plans de déplacement urbains
C5005;Création, aménagement, entretien de la voirie
C5505;Programme local de l’habitat
C5535;Opération programmée d'amélioration de l'habitat (OPAH)
C7005;Ports
C7010;Aérodromes
C7015;Voies navigables
C7020;Eclairage public
C7025;Pistes cyclables
C9999;Autres
